categoryName,created,articleId,articleName,description
Hedge Margin,2021-04-05 10:46:52,262,What is a Hedge Margin?,"A hedge is an investment that is made with the intention of reducing the risk of adverse price movements in an asset. Normally, a hedge consists of taking an offsetting or opposite position in a related security.""}' :11pt;font-family:-style:normal;color:;"">A hedge is an investment that is made with the intention of reducing the risk of adverse price movements in an asset. Normally, a hedge consists of taking an offsetting or opposite position in a related security."
Hedge Margin,2021-04-05 10:46:52,263,What is peak margin?,Minimum margin that has to be in client's trading account before placing an order in any Segment. Clearing corporations will randomly take 4 snapshots at predefined time windows for arriving at such peak margin requirements on open positions during the day. Highest of the margin requirement from these 4 snapshots will be the Peak Margin. \nThis aims to curb the excessive leverage for intraday and derivatives positions.&quot;}
Hedge Margin,2021-04-05 10:46:52,264,What is the exposure margin?,"An additional margin over and above the Span margin is collected which is known as the Exposure margin. It is like an adhoc margin calculated on the value of the exposure taken. The margin is blocked over and above the span to support any MTM losses.                                                                                                                                                     For Index, it is 2% and for stocks it is 3.5%.""}' 11pt;font-family:;:normal;color:;"">An additional margin over and above the Span margin is collected which is known as the Exposure margin. It is like an adhoc margin calculated on the value of the exposure taken. The margin is blocked over and above the span to support any MTM losses.&nbsp;<span data-sheets-userformat='{""2"":11011,""3"":{""1"":0},""4"":{""1"":2,""2"":16777215},""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""16"":11}' data-sheets-value='{""1"":2,""2"":""An additional margin over and above the Span margin is collected which is known as the Exposure margin. It is like an adhoc margin calculated on the value of the exposure taken. The margin is blocked over and above the span to support any MTM losses.                                                                      For Index, it is 2% and for stocks it is 3.5%.""}' 11pt;font-family:;:normal;color:;"">For Index, it is 2% and for stocks it is 3.5%."
Hedge Margin,2021-04-05 10:46:52,265,What is Span margin?,"Span margin is an initial margin which is calculated basis the risk and volatility of the underlying asset.""}' :11pt;font-family:-Span margin is an initial margin which is calculated basis the risk and volatility of the underlying asset. </p>"
Hedge Margin,2021-04-05 10:46:52,266,What is Margin call?,"When the value of a trader's margin account falls below the exchange's required amount that's when a margin call occurs. In case of a margin call, the trader either has to deposit more funds in their account or square off any open position from their account.&quot;}"
Hedge Margin,2021-04-05 10:46:52,267,Do I have to bear penalty in case of margin shortfall?,"In case of a margin shortfall for the first time, the trader will be charged 1% of the amount. However, if a trader fails to maintain the margin amount three times continously in a month, then 5% of the amount will be charged. Also, in case trader fails to maintain the margin amount 5 times a month, then 5% of the amount will be charged.""}' :11pt;font-family:-style:normal;color:;"">In case of a margin shortfall for the first time, the trader will be charged 1% of the amount. However, if a trader fails to maintain the margin amount three times in a month, then 5% of the amount will be charged."
Hedge Margin,2021-04-05 10:46:52,268,Does finvasia provide leverage for delivery positions?,"No, we don’t provide leverage for delivery/carry forward position at the moment.""}' :11pt;font-family:-style:normal;color:;"">No, we don&rsquo;t provide leverage for delivery/carry forward position at the moment. "
Hedge Margin,2021-04-05 10:46:52,269,Why have I not received full credit against the sell value of my holdings?,"As per SEBI's peak margin rules, if you sell shares from your Demat , then only 80% credit against the sale value will be available for subsequent trades in the segments on the selling day. &quot;}"
Hedge Margin,2021-04-05 10:46:52,270,How peak margin affects margin for hedge positions?,"If the trades placed are hedged then there is a benefit of margin. To avoid Peak margin,it is important to square off the leg of the transaction which has high margin requirements first in order to square off the hedge position. If this procedure is not followed, peak margin requirement will rise up and in case of insufficient margin, it will result in a penalty.""}' :11pt;font-family:-style:normal;color:;"">If the trades placed are hedged then there is a benefit of margin. To avoid peak margin, it is important to square off the leg of the transaction which has high margin requirements first, in order to square off the hedge position. If this procedure is not followed, peak margin requirement will rise up and in case of insufficient margin, it will result in a penalty. "
Hedge Margin,2021-04-05 10:46:52,271,What is Order Level Hedge Benefit?,"As per SEBI Circular and NSE Circular last year, margin necessary for trading in the Equity derivatives got revised from 1st june 2020. Under the circular, it was mentioned that the margin requirement will reduce significantly and naked positions in F&O will need to bring in more margin money to hold the positions. To provide clients the benefit from new margin policy, one can avail the order-level hedge benefit i.e. while placing hedged trades.""}' :11pt;font-family:-style:normal;"">As per SEBI Circular and NSE Circular in 2020, margin required for trading in the equity derivatives got revised from 1st June 2020. As per the circular, margin requirement will reduce significantly and naked positions in F&amp;O will need to bring in more margin money to hold the positions. To provide clients the benefit from new margin policy, one can avail the order-level hedge benefit i.e. while placing hedged trades. "
