Question,Answer,,,,,,
What is a Hedge Margin?,"A hedge is an investment that is made with the intention of reducing the risk of adverse price movements in an asset. Normally, a hedge consists of taking an offsetting or opposite position in a related security.",,,,,,
What is peak margin?,The minimum margin has to be in the client's trading account before placing an order in any segment. Clearing corporations will randomly take 4 snapshots at predefined time windows for arriving at such peak margin requirements on open positions during the day. The highest margin requirement from these 4 snapshots will be the Peak Margin.This aims to curb the excessive leverage for intraday and derivatives positions.,,,,,,
What is the exposure margin?,"An additional margin over and above the Span margin is collected, known as the Exposure margin. It is like an adhoc margin calculated on the value of the exposure taken. The margin is blocked over and above the span to support any MTM losses. For Index, it is 2%, and for stocks, it is 3.5%.",,,,,,
What is the Span margin?,Span margin is an initial margin which is calculated based on the risk and volatility of the underlying asset.,,,,,,
What is a Margin call?,"When the value of a trader's margin account falls below the exchange's required amount, a margin call occurs. In case of a margin call, the trader either has to deposit more funds in their account or square off any open position from their account.",,,,,,
Do I have to bear a penalty in case of a margin shortfall?,"In case of a margin shortfall for the first time, the trader will be charged 1% of the amount. However, if a trader fails to maintain the margin amount three times in a month, then 5% of the amount will be charged.",,,,,,
Does Shoonya provide leverage for delivery positions?,"No, we don’t provide leverage for delivery/carry forward position at the moment.",,,,,,
Why have I not received full credit against the sell value of my holdings?,"As per SEBI's peak margin rules, if you sell shares from your Demat, then only 80% credit against the sale value will be available for subsequent trades in the segments on the selling day. ",,,,,,
How peak margin affects margin for hedge positions?,"If the trades placed are hedged, then there is a benefit of margin. To avoid a peak margin, it is important to square off the leg of the transaction that has high margin requirements first in order to square off the hedge position. If this procedure is not followed, the peak margin requirement will rise, and in case of insufficient margin, it will result in a penalty.",,,,,,
What is Order Level Hedge Benefit?,"As per the SEBI Circular and NSE Circular in 2020, the margin required for trading in the equity derivatives was revised from 1st June 2020. As per the circular, the margin requirement will reduce significantly and naked positions in F&O will need to bring in more margin money to hold the positions. To provide clients with the benefit from the new margin policy, one can avail of the order-level hedge benefit, i.e. while placing hedged trades.",,,,,,
